tolerance,attack_type,scenario_family,normal_false_rejection_rate,records,tp,tn,fp,fn,precision,recall,f1,false_acceptance_rate,false_rejection_rate
1.02,replay_attack,temporal_persistence,2.9239766081871346e-05,36000,784,33839,1,1376,0.9987261146496815,0.362962962962963,0.5324278438030561,0.6370370370370371,2.9550827423167847e-05
1.02,neighbor_inconsistent_attack,coordination_inconsistency,2.9239766081871346e-05,36000,0,34199,1,1800,0.0,0.0,0.0,1.0,2.9239766081871346e-05
1.02,coordinated_near_bound,coordinated_stealth,2.9239766081871346e-05,36000,336,34055,0,1609,1.0,0.17275064267352186,0.29460762823323106,0.8272493573264782,0.0
1.02,intermittent_burst,temporal_persistence,2.9239766081871346e-05,36000,390,35563,1,46,0.9974424552429667,0.8944954128440367,0.9431680773881499,0.10550458715596331,2.8118321898549094e-05
1.025,dataset_fdia,original_dataset,0.0,36000,1551,34200,0,249,1.0,0.8616666666666667,0.9256938227394808,0.13833333333333334,0.0
1.025,nighttime_impossible,physics_impossible,0.0,36000,1440,34560,0,0,1.0,1.0,1.0,0.0,0.0
1.025,above_bound,physics_impossible,0.0,36000,1717,34200,0,83,1.0,0.9538888888888889,0.9764003411998863,0.04611111111111111,0.0
1.025,near_bound,stealth_physical_boundary,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.025,within_bound_fraud,stealth_physical_boundary,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.025,sensor_drift,temporal_persistence,0.0,36000,2529,32932,0,539,1.0,0.8243155149934811,0.9036984098624263,0.1756844850065189,0.0
1.025,weather_spoofing,context_spoofing,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.025,replay_attack,temporal_persistence,0.0,36000,774,33840,0,1386,1.0,0.35833333333333334,0.5276073619631901,0.6416666666666667,0.0
1.025,neighbor_inconsistent_attack,coordination_inconsistency,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.025,coordinated_near_bound,coordinated_stealth,0.0,36000,106,34055,0,1839,1.0,0.0544987146529563,0.10336421257922965,0.9455012853470437,0.0
1.025,intermittent_burst,temporal_persistence,0.0,36000,389,35564,0,47,1.0,0.8922018348623854,0.943030303030303,0.10779816513761468,0.0
1.03,dataset_fdia,original_dataset,0.0,36000,1551,34200,0,249,1.0,0.8616666666666667,0.9256938227394808,0.13833333333333334,0.0
1.03,nighttime_impossible,physics_impossible,0.0,36000,1440,34560,0,0,1.0,1.0,1.0,0.0,0.0
1.03,above_bound,physics_impossible,0.0,36000,1717,34200,0,83,1.0,0.9538888888888889,0.9764003411998863,0.04611111111111111,0.0
1.03,near_bound,stealth_physical_boundary,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.03,within_bound_fraud,stealth_physical_boundary,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.03,sensor_drift,temporal_persistence,0.0,36000,2501,32932,0,567,1.0,0.8151890482398957,0.8981863889387681,0.18481095176010431,0.0
1.03,weather_spoofing,context_spoofing,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.03,replay_attack,temporal_persistence,0.0,36000,762,33840,0,1398,1.0,0.3527777777777778,0.5215605749486653,0.6472222222222223,0.0
1.03,neighbor_inconsistent_attack,coordination_inconsistency,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.03,coordinated_near_bound,coordinated_stealth,0.0,36000,0,34055,0,1945,0.0,0.0,0.0,1.0,0.0
1.03,intermittent_burst,temporal_persistence,0.0,36000,388,35564,0,48,1.0,0.8899082568807339,0.941747572815534,0.11009174311926606,0.0
1.035,dataset_fdia,original_dataset,0.0,36000,1551,34200,0,249,1.0,0.8616666666666667,0.9256938227394808,0.13833333333333334,0.0
1.035,nighttime_impossible,physics_impossible,0.0,36000,1440,34560,0,0,1.0,1.0,1.0,0.0,0.0
1.035,above_bound,physics_impossible,0.0,36000,1717,34200,0,83,1.0,0.9538888888888889,0.9764003411998863,0.04611111111111111,0.0
1.035,near_bound,stealth_physical_boundary,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.035,within_bound_fraud,stealth_physical_boundary,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.035,sensor_drift,temporal_persistence,0.0,36000,2481,32932,0,587,1.0,0.8086701434159062,0.8942151739052082,0.19132985658409388,0.0
1.035,weather_spoofing,context_spoofing,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.035,replay_attack,temporal_persistence,0.0,36000,751,33840,0,1409,1.0,0.3476851851851852,0.5159738921332876,0.6523148148148148,0.0
1.035,neighbor_inconsistent_attack,coordination_inconsistency,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.035,coordinated_near_bound,coordinated_stealth,0.0,36000,0,34055,0,1945,0.0,0.0,0.0,1.0,0.0
1.035,intermittent_burst,temporal_persistence,0.0,36000,387,35564,0,49,1.0,0.8876146788990825,0.9404617253948967,0.11238532110091744,0.0
